iter	Passed	Remaining
0	1	176
1	3	156
2	4	141
3	5	128
4	6	124
5	7	120
6	8	117
7	9	114
8	11	113
9	12	111
10	13	110
11	15	112
12	16	108
13	17	105
14	18	103
15	19	100
16	20	98
17	21	95
18	21	93
19	22	91
20	23	88
21	24	86
22	25	85
23	26	83
24	27	81
25	27	79
26	28	78
27	29	76
28	30	74
29	31	73
30	32	71
31	33	71
32	34	69
33	35	68
34	36	67
35	36	65
36	37	64
37	38	63
38	39	62
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	58	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	63	30
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
