iter	Passed	Remaining
0	181	181018
1	185	92725
2	190	63343
3	199	49686
4	202	40274
5	204	33907
6	208	29573
7	210	26054
8	211	23316
9	213	21113
10	214	19291
11	215	17781
12	217	16505
13	219	15468
14	222	14586
15	223	13719
16	224	12961
17	225	12281
18	226	11674
19	227	11128
20	228	10630
21	229	10183
22	229	9768
23	230	9387
24	231	9039
25	232	8715
26	233	8415
27	234	8138
28	235	7878
29	236	7637
30	237	7411
31	238	7200
32	240	7061
33	241	6873
34	242	6698
35	243	6529
36	244	6370
37	245	6219
38	246	6075
39	247	5937
40	248	5807
41	249	5691
42	250	5574
43	251	5462
44	253	5384
45	254	5282
46	255	5182
47	256	5086
48	257	5000
49	258	4912
50	259	4827
51	260	4747
52	261	4669
53	262	4593
54	263	4520
55	264	4450
56	264	4383
57	265	4317
58	268	4286
59	269	4227
60	270	4166
61	271	4108
62	272	4051
63	273	3996
64	274	3943
65	275	3893
66	276	3846
67	277	3803
68	278	3756
69	279	3709
70	280	3664
71	280	3621
72	281	3578
73	282	3537
74	283	3497
75	284	3458
76	286	3433
77	287	3397
78	288	3361
79	289	3326
80	290	3290
81	290	3257
82	291	3220
83	292	3188
84	293	3156
85	294	3125
86	294	3095
87	295	3066
88	296	3037
89	297	3009
90	298	2981
91	299	2954
92	300	2928
93	301	2902
94	302	2877
95	303	2853
96	305	2842
97	306	2821
98	307	2797
99	308	2775
100	309	2752
101	310	2730
102	311	2708
103	311	2686
104	312	2665
105	313	2645
106	314	2624
107	315	2605
108	316	2586
109	317	2567
110	318	2548
111	319	2529
112	319	2511
113	320	2493
114	321	2475
115	324	2470
116	324	2452
117	325	2435
118	326	2419
119	327	2402
120	328	2386
121	329	2369
122	330	2353
123	331	2338
124	332	2325
125	333	2311
126	334	2296
127	335	2282
128	335	2268
129	336	2253
130	337	2240
131	338	2226
132	339	2212
133	340	2198
134	341	2185
135	342	2172
136	342	2160
137	343	2147
138	344	2135
139	345	2122
140	346	2110
141	346	2096
142	347	2084
143	348	2073
144	349	2061
145	350	2050
146	351	2042
147	352	2031
148	353	2021
149	354	2010
150	355	2000
151	356	1990
152	357	1980
153	360	1981
154	361	1971
155	362	1962
156	363	1953
157	365	1945
158	366	1938
159	367	1930
160	370	1928
161	371	1921
162	373	1915
163	374	1907
164	375	1898
165	376	1889
166	377	1880
167	379	1879
168	380	1870
169	381	1861
170	382	1852
171	382	1843
172	383	1835
173	384	1826
174	385	1817
175	386	1809
176	387	1801
177	388	1794
178	389	1786
179	390	1778
180	391	1770
181	392	1761
182	392	1754
183	393	1746
184	394	1738
185	395	1730
186	398	1730
187	399	1724
188	400	1718
189	402	1714
190	403	1707
191	404	1701
192	405	1695
193	406	1688
194	407	1682
195	408	1677
196	409	1670
197	410	1663
198	411	1656
199	412	1649
200	413	1642
201	414	1635
202	416	1636
203	417	1630
204	419	1624
205	420	1619
206	421	1613
207	422	1607
208	423	1601
209	424	1595
210	425	1589
211	426	1584
212	427	1579
213	428	1575
214	430	1570
215	431	1565
216	432	1559
217	433	1553
218	437	1560
219	440	1561
220	443	1562
221	445	1560
222	449	1565
223	451	1564
224	453	1561
225	455	1560
226	457	1556
227	458	1552
228	459	1547
229	460	1543
230	462	1538
231	463	1534
232	464	1529
233	468	1533
234	469	1528
235	470	1522
236	471	1517
237	472	1511
238	473	1506
239	473	1500
240	474	1495
241	475	1490
242	476	1484
243	477	1479
244	478	1474
245	479	1469
246	480	1464
247	481	1459
248	482	1453
249	482	1448
250	483	1443
251	486	1444
252	487	1439
253	488	1434
254	489	1430
255	490	1425
256	491	1420
257	492	1415
258	493	1410
259	493	1405
260	494	1401
261	495	1396
262	496	1391
263	497	1387
264	498	1382
265	499	1378
266	500	1373
267	501	1368
268	502	1364
269	504	1364
270	505	1360
271	506	1356
272	508	1354
273	509	1349
274	510	1345
275	511	1340
276	512	1336
277	512	1331
278	513	1327
279	514	1323
280	515	1318
281	516	1314
282	517	1310
283	517	1305
284	518	1301
285	519	1297
286	520	1293
287	523	1294
288	524	1290
289	525	1286
290	526	1282
291	527	1278
292	528	1274
293	529	1270
294	529	1266
295	530	1262
296	531	1258
297	532	1254
298	533	1250
299	534	1246
300	535	1242
301	536	1239
302	536	1235
303	537	1231
304	538	1227
305	539	1223
306	542	1224
307	543	1220
308	544	1216
309	545	1213
310	545	1209
311	546	1205
312	547	1202
313	548	1198
314	549	1195
315	551	1193
316	552	1189
317	552	1185
318	553	1182
319	554	1178
320	555	1174
321	556	1171
322	557	1167
323	558	1164
324	558	1160
325	560	1157
326	560	1154
327	561	1151
328	562	1147
329	563	1144
330	564	1140
331	565	1137
332	566	1134
333	567	1130
334	567	1127
335	568	1123
336	569	1120
337	570	1117
338	571	1113
339	572	1110
340	572	1107
341	573	1104
342	574	1100
343	575	1097
344	578	1098
345	579	1095
346	580	1091
347	580	1088
348	581	1085
349	582	1081
350	583	1078
351	584	1075
352	585	1072
353	585	1069
354	586	1065
355	587	1062
356	588	1059
357	589	1056
358	590	1054
359	591	1051
360	592	1048
361	593	1045
362	593	1042
363	594	1039
364	597	1038
365	598	1036
366	599	1033
367	600	1030
368	601	1028
369	602	1025
370	602	1022
371	603	1019
372	604	1016
373	605	1014
374	606	1011
375	607	1008
376	608	1005
377	609	1002
378	610	999
379	610	996
380	611	994
381	612	991
382	613	988
383	616	988
384	616	985
385	617	982
386	618	979
387	619	977
388	620	974
389	621	971
390	622	968
391	622	966
392	623	963
393	624	960
394	625	957
395	626	955
396	627	952
397	627	949
398	628	947
399	629	944
400	630	941
401	631	939
402	632	936
403	635	936
404	635	934
405	636	931
406	637	928
407	638	926
408	639	923
409	639	920
410	640	918
411	641	915
412	642	913
413	643	910
414	644	908
415	645	905
416	645	903
417	647	901
418	649	899
419	649	897
420	650	894
421	653	894
422	654	892
423	655	889
424	655	887
425	656	884
426	657	882
427	658	880
428	659	877
429	660	875
430	661	872
431	661	870
432	662	867
433	663	865
434	664	863
435	665	860
436	666	858
437	667	855
438	667	853
439	668	851
440	669	848
441	672	848
442	673	846
443	674	844
444	675	841
445	675	839
446	676	837
447	677	834
448	678	832
449	679	830
450	680	827
451	680	825
452	681	823
453	682	820
454	683	818
455	684	816
456	685	814
457	686	811
458	686	809
459	687	807
460	690	807
461	691	805
462	692	802
463	693	800
464	694	798
465	694	796
466	695	793
467	696	791
468	697	789
469	698	787
470	698	784
471	699	782
472	700	780
473	701	778
474	702	776
475	703	774
476	704	772
477	704	769
478	705	767
479	706	765
480	709	765
481	710	763
482	711	761
483	711	759
484	712	756
485	713	754
486	714	752
487	715	750
488	716	748
489	717	746
490	717	744
491	718	742
492	719	740
493	720	737
494	721	735
495	722	733
496	722	731
497	723	729
498	724	727
499	725	725
500	728	725
501	728	723
502	729	721
503	730	719
504	731	717
505	732	715
506	733	713
507	734	711
508	735	709
509	736	707
510	736	705
511	737	703
512	738	701
513	739	699
514	740	697
515	741	695
516	741	693
517	742	691
518	743	689
519	746	689
520	747	687
521	750	687
522	751	685
523	753	684
524	754	682
525	755	680
